단속장소,위도,경도
서울 광진구 화양동 110-2,37.5474311,127.070817
서울 광진구 화양동 110-2,37.5474311,127.070817
서울 광진구 화양동 110-2,37.5474311,127.070817
서울 광진구 화양동 110-2,37.5474311,127.070817
서울 광진구 화양동 110-2,37.5474311,127.070817
서울 광진구 화양동 110-2,37.5474311,127.070817
서울특별시 광진구 능동로19길 41,37.5472371,127.0714901
서울특별시 광진구 능동로19길 41,37.5472371,127.0714901
서울 광진구 화양동 110-2,37.5474311,127.070817
서울 광진구 화양동 111-110,37.5470601,127.0730964
중곡문화체육센터 앞,37.56354400000001,127.0888304
건대입구 3번 출구 앞,37.540372,127.069276
서울 광진구 자양동 200-2,37.5354207,127.0618052
광장로7길,37.5486161,127.1054967
능동로,37.550113,127.0771058
아차산로,37.5444761,127.0897654
서울 광진구 자양동 624-12,37.5352378,127.082121
강변 스파랜드 앞,37.5348073,127.0915497
건대입구 1번 출구 앞,37.540372,127.069276
강변역 4번 출구,37.535098,127.094695
신성그랜드타워 앞,37.5648702,127.0805429
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
자양동 동제한의원 앞,37.5350128,127.083849
신성그랜드타워 앞,37.5648702,127.0805429
서울특별시 광진구 뚝섬로51길 75,37.5353304,127.0819424
서울특별시 광진구 광나루로 458,37.5441172,127.080781
서울 광진구 구의동 632-10,37.5450801,127.0817977
아차산로,37.5444761,127.0897654
아차산로,37.5444761,127.0897654
서울 광진구 중곡동 263-1,37.5645564,127.076628
서울 광진구 중곡동 611-2,37.5608756,127.0742112
아차산로23길,37.5441586,127.0670103
자양동 동제한의원 앞,37.5350128,127.083849
서울특별시 광진구 자양로19길 34,37.5385835,127.08145
광나루로,37.5443273,127.0863479
서울특별시 광진구 광나루로52길 106,37.5391549,127.0902246
서울특별시 광진구 아차산로 431,37.538653,127.0901794
능동로,37.550113,127.0771058
면목로,37.5835701,127.0860204
면목로,37.5835701,127.0860204
군자로,38.0658239,127.0593915
군자로,38.0658239,127.0593915
MB모터스 옆,37.5634573,127.0782485
군자로,38.0658239,127.0593915
긴고랑로,37.5615888,127.0880792
긴고랑로,37.5615888,127.0880792
긴고랑로,37.5615888,127.0880792
긴고랑로,37.5615888,127.0880792
긴고랑로,37.5615888,127.0880792
긴고랑로11길,37.5640255,127.0777917
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
긴고랑로11길,37.5640255,127.0777917
광나루로,37.5443273,127.0863479
서울특별시 광진구 자양로 38,37.5315978,127.0864819
서울 광진구 구의동 632-8,37.5447221,127.08224
서울특별시 광진구 천호대로127길 42-2,37.5542205,127.0908622
자양동 동제한의원 앞,37.5350128,127.083849
서울 광진구 광장동 550-4,37.5481624,127.105599
서울 광진구 광장동 550-4,37.5481624,127.105599
MB모터스 옆,37.5634573,127.0782485
파리바게트 앞,37.611396,127.022616
건대입구 3번 출구 앞,37.540372,127.069276
서울 광진구 자양동 549,37.5364905,127.0678238
서울 광진구 자양동 549,37.5364905,127.0678238
서울 광진구 자양동 549,37.5364905,127.0678238
서울특별시 광진구 천호대로111길 7,37.556809,127.0819207
서울특별시 광진구 천호대로 800,37.5452877,127.1022755
서울 광진구 자양동 550-2,37.5349742,127.068388
군자 CGV 앞,37.5557163,127.0783551
서울특별시 광진구 동일로 256,37.5543005,127.0711707
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
중곡문화체육센터 앞,37.56354400000001,127.0888304
중곡지구대 앞,37.56354400000001,127.0888304
서울 광진구 중곡동 482-1,37.5593841,127.0937417
군자 CGV 앞,37.5557163,127.0783551
이튼타워리버3차 앞,37.5328765,127.0682422
서울 광진구 자양동 8-3,37.5410409,127.0664694
서울 광진구 자양동 8-3,37.5410409,127.0664694
서울 광진구 자양동 8-5,37.5403467,127.0671533
서울 광진구 자양동 8-5,37.5403467,127.0671533
동서울터미널 주차장 앞,37.5333713,127.0933675
광진광장,37.5477055,127.0735718
구의동 웰츠타워 앞,37.53783130000001,127.0836456
서울특별시 광진구 긴고랑로 43,37.5629452,127.081197
신성그랜드타워 앞,37.5648702,127.0805429
고신경정신과의원 앞,33.5001523,126.5181997
강변역 1번 출구,37.535098,127.094695
서울특별시 광진구 능동로 255,37.5529372,127.0768995
고신경정신과의원 앞,33.5001523,126.5181997
파리바게트 앞,37.611396,127.022616
건대입구 1번 출구 앞,37.540372,127.069276
서울특별시 광진구 아차산로58가길 15,37.5360232,127.090248
서울 광진구 군자동 343-12,37.5513719,127.070599
서울 광진구 자양동 508-9,37.5356578,127.0670882
서울특별시 광진구 아차산로 431,37.538653,127.0901794
서울특별시 광진구 아차산로 431,37.538653,127.0901794
서울특별시 광진구 천호대로 지하 550,37.5509,127.0892347
강변역 1번 출구,37.535098,127.094695
서울특별시 광진구 능동로42길 65,37.5585486,127.0844039
서울특별시 광진구 천호대로 지하 550,37.5509,127.0892347
신성그랜드타워 앞,37.5648702,127.0805429
서울특별시 광진구 아차산로76길 10,37.5476866,127.1074641
서울특별시 광진구 용마산로7길 55,37.5597337,127.0846197
서울특별시 광진구 능동로 395,37.564623,127.0832124
서울 광진구 중곡동 452-2,37.5583638,127.0899761
서울 광진구 중곡동 87-14,37.5570593,127.0917831
지너스타워 주차장 앞,37.2008645,127.5440624
지너스타워 주차장 앞,37.2008645,127.5440624
서울 광진구 중곡동 482-1,37.5593841,127.0937417
고신경정신과의원 앞,33.5001523,126.5181997
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
서울 광진구 중곡동 470-2,37.5548642,127.0900228
서울특별시 광진구 뚝섬로56길 59,37.5288562,127.0829213
서울특별시 광진구 아차산로27길 9,37.5420876,127.0676098
서울 광진구 화양동 111-267,37.5477713,127.0712886
서울특별시 광진구 용마산로33길 25 주차장 입구,37.5699599,127.0846592
서울특별시 광진구 용마산로33길 25 주차장 입구,37.5699599,127.0846592
서울특별시 광진구 아차산로 478,37.540312,127.095016
서울특별시 광진구 광나루로 635,37.5406205,127.0986045
서울 광진구 중곡동 288-38,37.5699931,127.0869471
어린이대공원 정문,37.549363,127.0818126
지너스타워 주차장 앞,37.2008645,127.5440624
중곡문화체육센터 앞,37.56354400000001,127.0888304
현대2단지아파트 앞,37.5387348,127.0961255
강변 스파랜드 앞,37.5348073,127.0915497
지너스타워 주차장 앞,37.2008645,127.5440624
서울특별시 광진구 면목로 21-1,37.5562635,127.0758316
신성그랜드타워 앞,37.5648702,127.0805429
서울 광진구 중곡동 187-26,37.5693167,127.0796955
서울 광진구 자양동 732,37.5322356,127.0848699
서울 광진구 중곡동 266-5,37.5575789,127.087965
세종대정문 택시승강장,37.5518018,127.0736345
고신경정신과의원 앞,33.5001523,126.5181997
아차산로,37.5444761,127.0897654
이튼타워리버3차 앞,37.5328765,127.0682422
군자역 5번가구할인매장앞,37.5530337,127.073673
서울 광진구 구의동 632-8,37.5447221,127.08224
서울 광진구 능동 238-3,37.5545176,127.0838038
서울특별시 광진구 천호대로120길 16,37.5534642,127.0863606
강변 스파랜드 앞,37.5348073,127.0915497
자양동 동제한의원 앞,37.5350128,127.083849
구의강변로,37.5354096,127.0926055
군자역 5번가구할인매장앞,37.5530337,127.073673
중곡지구대 앞,37.56354400000001,127.0888304
지너스타워 주차장 앞,37.2008645,127.5440624
MB모터스 옆,37.5634573,127.0782485
강변 스파랜드 앞,37.5348073,127.0915497
한국보건의료인 국가시험원 앞,35.907757,127.766922
서울 광진구 구의동 591-21,37.5359776,127.0907792
서울 광진구 능동 270-6,37.553263,127.0842999
서울 광진구 자양동 57-8,37.5333006,127.0634554
서울 광진구 자양동 57-8,37.5333006,127.0634554
파리바게트 앞,37.611396,127.022616
아차산로,37.5444761,127.0897654
아차산로,37.5444761,127.0897654
아차산로,37.5444761,127.0897654
강변역 1번 출구,37.535098,127.094695
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
파리바게트 앞,37.611396,127.022616
서울특별시 광진구 천호대로124길 24,37.5523015,127.0878774
서울특별시 광진구 천호대로124길 20,37.5523229,127.0880928
파리바게트 앞,37.611396,127.022616
동일로2길,37.5349046,127.0615595
군자로,38.0658239,127.0593915
군자로,38.0658239,127.0593915
군자로,38.0658239,127.0593915
군자로,38.0658239,127.0593915
동일로60길,37.5579452,127.0751468
군자역 5번가구할인매장앞,37.5530337,127.073673
중곡문화체육센터 앞,37.56354400000001,127.0888304
MB모터스 옆,37.5634573,127.0782485
능동로,37.550113,127.0771058
자양동 동제한의원 앞,37.5350128,127.083849
MB모터스 옆,37.5634573,127.0782485
긴고랑로,37.5615888,127.0880792
긴고랑로,37.5615888,127.0880792
긴고랑로,37.5615888,127.0880792
긴고랑로9길,37.5640768,127.0776864
서울특별시 광진구 아차산로33길 63,37.5430342,127.0709813
군자역 5번가구할인매장앞,37.5530337,127.073673
서울특별시 광진구 아차산로76길 10,37.5476866,127.1074641
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
서울 광진구 자양동 200-2,37.5354207,127.0618052
건대입구 1번 출구 앞,37.540372,127.069276
구의동 웰츠타워 앞,37.53783130000001,127.0836456
서울 광진구 구의동 55-18,37.551165,127.0911547
구의동 웰츠타워 앞,37.53783130000001,127.0836456
광진광장,37.5477055,127.0735718
MB모터스 옆,37.5634573,127.0782485
서울 광진구 구의동 89,37.5513393,127.0925889
강변역 1번 출구,37.535098,127.094695
서울특별시 광진구 동일로22길 92,37.5410227,127.069073
서울 광진구 중곡동 265-1,37.567573,127.0834758
서울특별시 광진구 면목로 164,37.5677519,127.0824705
서울 광진구 광장동 325-6,37.5476866,127.1074641
서울 광진구 자양동 200-2,37.5354207,127.0618052
서울 광진구 자양동 508-9,37.5356578,127.0670882
서울특별시 광진구 면목로 160,37.5674399,127.0822857
고신경정신과의원 앞,33.5001523,126.5181997
서울 광진구 구의동 200-10,37.5403705,127.0945451
서울 광진구 구의동 200-10,37.5403705,127.0945451
서울 광진구 중곡동 77-1,37.5588538,127.089909
서울특별시 광진구 면목로 132,37.5651999,127.0810622
서울특별시 광진구 면목로 56,37.5589402,127.0775808
서울 광진구 중곡동 437-8,37.5567315,127.0933972
서울 광진구 중곡동 73-89,37.5577033,127.0954333
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
서울특별시 광진구 영화사로 59-1,37.5552465,127.0931079
서울특별시 광진구 영화사로9길 6,37.5552175,127.0933814
